Ticker,Description,Sector,Industry,Market Capitalization
IBTD,iShares iBonds Dec 2023 Term Treasury ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IMCG,iShares Morningstar Mid-Cap Growth ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SPXB,ProShares S&P 500 Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SDIV,Global X SuperDividend ETF,Miscellaneous,Investment Trusts/Mutual Funds,
XHS,SPDR S&P Health Care Services ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TPHD,Timothy Plan High Dividend Stock ETF,Miscellaneous,Investment Trusts/Mutual Funds,
UYM,ProShares Ultra Basic Materials,Miscellaneous,Investment Trusts/Mutual Funds,
DGL,Invesco DB Gold Fund,Miscellaneous,Investment Trusts/Mutual Funds,
IAU,iShares Gold Trust Shares of the iShares Gold Trust,Miscellaneous,Investment Trusts/Mutual Funds,28092900000
HOLD,AdvisorShares Sage Core Reserves ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PSCU,Invesco S&P SmallCap Utilities & Communication Services ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DJCB,"ETRACS Bloomberg Commodity Index Total Return ETN Series B due October 31, 2039",Miscellaneous,Investment Trusts/Mutual Funds,
SIVR,Aberdeen Standard Physical Silver Shares ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IUSS,Invesco RAFI Strategic US Small Company ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TEQI,T. Rowe Price Equity Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BIBL,Inspire 100 ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FXE,Invesco CurrencyShares Euro Currency Trust,Miscellaneous,Investment Trusts/Mutual Funds,
IYK,iShares U.S. Consumer Staples ETF,Miscellaneous,Investment Trusts/Mutual Funds,
ARKX,ARK Space Exploration & Innovation ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IBMK,iShares iBonds Dec 2022 Term Muni Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DBGR,Xtrackers MSCI Germany Hedged Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CHIC,Global X Funds Global X MSCI China Communication Services ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DUST,Direxion Daily Gold Miners Index Bear 2X Shares,Miscellaneous,Investment Trusts/Mutual Funds,
DBMF,iM DBi Managed Futures Strategy ETF ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SUB,iShares Short-Term National Muni Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
WOMN,Impact Shares Trust I ETF Impact Shares YWCA Womenas Empowerment ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CNYA,iShares MSCI China A ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FLRT,Pacific Global ETF Trust Pacific Global Senior Loan ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FXB,Invesco CurrencyShares British Pound Sterling Trust,Miscellaneous,Investment Trusts/Mutual Funds,
CLMA,Tidal ETF Trust iClima Global Decarbonization Transition Leaders ETF,Miscellaneous,Investment Trusts/Mutual Funds,
HYTR,CP High Yield Trend ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BNO,"United States Brent Oil Fund, LP ETV",Miscellaneous,Investment Trusts/Mutual Funds,
EWSC,Invesco S&P SmallCap 600 Equal Weight ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DON,WisdomTree U.S. MidCap Dividend Fund,Miscellaneous,Investment Trusts/Mutual Funds,
FCOM,Fidelity MSCI Communication Services Index ETF,Miscellaneous,Investment Trusts/Mutual Funds,
QDEF,FlexShares Quality Dividend Defensive Index Fund,Miscellaneous,Investment Trusts/Mutual Funds,
AMNA,ETRACS Alerian Midstream Energy Index ETN,Miscellaneous,Investment Trusts/Mutual Funds,
VIG,Vanguard Div Appreciation ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EMMF,WisdomTree Emerging Markets Multifactor Fund,Miscellaneous,Investment Trusts/Mutual Funds,
IBHF,iShares iBonds 2026 Term High Yield and Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BBC,Virtus LifeSci Biotech Clinical Trials ETF,Miscellaneous,Investment Trusts/Mutual Funds,
MMIT,IQ MacKay Municipal Intermediate ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SMMU,Short Term Municipal Bond Active Exchange-Traded Fund,Miscellaneous,Investment Trusts/Mutual Funds,
STNC,Stance Equity ESG Large Cap Core ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DVYE,iShares Emerging Markets Dividend Index Fund Exchange Traded Fund,Miscellaneous,Investment Trusts/Mutual Funds,
KOLD,ProShares UltraShort Bloomberg Natural Gas,Miscellaneous,Investment Trusts/Mutual Funds,
IEFN,iShares Evolved U.S. Financials ETF,Miscellaneous,Investment Trusts/Mutual Funds,
GSLC,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FLOT,iShares Floating Rate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BKMC,BNY Mellon US Mid Cap Core Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FDWM,Fidelity Women's Leadership ETF,Miscellaneous,Investment Trusts/Mutual Funds,
AMZA,InfraCap MLP ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DBAW,Xtrackers MSCI All World ex US Hedged Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FDL,First Trust Morningstar ETF,Miscellaneous,Investment Trusts/Mutual Funds,
REET,iShares Trust iShares Global REIT ETF,Miscellaneous,Investment Trusts/Mutual Funds,
UNOV,Innovator U.S. Equity Ultra Buffer ETF - November,Miscellaneous,Investment Trusts/Mutual Funds,
AWAY,ETFMG Travel Tech ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FFTI,FormulaFolios Tactical Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
ISVL,iShares Trust iShares International Developed Small Cap Value Factor ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EURL,Direxion Daily FTSE Europe Bull 3x Shares,Miscellaneous,Investment Trusts/Mutual Funds,
IIGV,Invesco Investment Grade Value ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IUSB,iShares Core Total USD Bond Market ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IRBO,iShares Robotics and Artificial Intelligence Multisector ETF,Miscellaneous,Investment Trusts/Mutual Funds,
XLG,Invesco S&P 500 Top 50 ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IGF,iShares Global Infrastructure ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TDVG,T. Rowe Price Dividend Growth ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TPLE,Timothy Plan US Large/Mid Cap Core Enhanced ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CHIE,Global X MSCI China Energy ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SVXY,ProShares Short VIX Short Term Futures ETF,Miscellaneous,Investment Trusts/Mutual Funds,
LIT,Global X Lithium & Battery Tech ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BSJL,Invesco BulletShares 2021 High Yield Corporate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TSPA,T. Rowe Price U.S. Equity Research ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SHYD,VanEck ETF Trust VanEck Short High Yield Muni ETF,Miscellaneous,Investment Trusts/Mutual Funds,
QCON,American Century ETF Trust American Century Quality Convertible Securities ETF,Miscellaneous,Investment Trusts/Mutual Funds,
RGI,Invesco S&P 500 Equal Weight Industrials Portfolio,Miscellaneous,Investment Trusts/Mutual Funds,
BBSC,JPMorgan BetaBuilders U.S. Small Cap Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
RDFI,Rareview Dynamic Fixed Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IGEB,iShares Investment Grade Bond Factor ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FATT,Fat Tail Risk ETF,Miscellaneous,Investment Trusts/Mutual Funds,
ASHX,Xtrackers MSCI China A Inclusion Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
RWO,SPDR DJ Wilshire Global Real Estate ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EMTY,ProShares Decline of the Retail Store ETF,Miscellaneous,Investment Trusts/Mutual Funds,
ESCR,DBX ETF Tr Xtrackers Bloomberg US Investment Grade Corporate ESG ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SCRD,Janus Henderson Sustainable Corporate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
JULZ,TrueShares Structured Outcome (July) ETF,Miscellaneous,Investment Trusts/Mutual Funds,
ELD,WisdomTree Emerging Markets Local Debt Fund,Miscellaneous,Investment Trusts/Mutual Funds,
LDEM,iShares ESG MSCI EM Leaders ETF,Miscellaneous,Investment Trusts/Mutual Funds,
QAI,IQ Hedge MultiIQ Hedge Multi-Strategy Tracker ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EPV,ProShares UltraShort FTSE Europe ETF,Miscellaneous,Investment Trusts/Mutual Funds,
JGLD,Amplify Pure Junior Gold Miners ETF,Miscellaneous,Investment Trusts/Mutual Funds,
HYDB,iShares High Yield Bond Factor ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CMDY,iShares Bloomberg Roll Select Commodity Strategy ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FAD,First Trust Multi Cap Growth AlphaDEX Fund,Miscellaneous,Investment Trusts/Mutual Funds,
GNR,SPDR S&P Global Natural Resources ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SCHJ,Schwab 1-5 Year Corporate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FLAX,Franklin FTSE Asia ex Japan ETF,Miscellaneous,Investment Trusts/Mutual Funds,
NDVG,Nuveen Dividend Growth ETF,Miscellaneous,Investment Trusts/Mutual Funds,
MAMB,Monarch Ambassador Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BSCN,Invesco BulletShares 2023 Corporate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SH,ProShares Short S&P500,Miscellaneous,Investment Trusts/Mutual Funds,
TDTF,FlexShares iBoxx 5 Year Target Duration TIPS Index Fund,Miscellaneous,Investment Trusts/Mutual Funds,
LDSF,First Trust Low Duration Strategic Focus ETF,Miscellaneous,Investment Trusts/Mutual Funds,
RDIV,Invesco Exchange-Traded Fund Trust II Invesco S&P Ultra Dividend Revenue ETF,Miscellaneous,Investment Trusts/Mutual Funds,
ISCG,iShares Morningstar Small-Cap Growth ETF,Miscellaneous,Investment Trusts/Mutual Funds,
KDFI,KFA Dynamic Fixed Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
MLPR,ETRACS Quarterly Pay 1.5X Leveraged Alerian MLP Index ETN,Miscellaneous,Investment Trusts/Mutual Funds,
JANZ,TrueShares Structured Outcome (January) ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VUSB,Vanguard Ultra-Short Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
HYD,VanEck ETF Trust VanEck High Yield Muni ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DTOX,Amplify Cleaner Living ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VSGX,Vanguard ESG International Stock ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EUCG,Euclid Capital Growth ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CBTG,Cabot Growth ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BSCE,Invesco BulletShares 2023 USD Emerging Markets Debt ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EDOC,Global X Telemedicine & Digital Health ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SRTY,ProShares UltraPro Short Russell2000,Miscellaneous,Investment Trusts/Mutual Funds,
FXD,First Trust Cons. Discret. AlphaDEX,Miscellaneous,Investment Trusts/Mutual Funds,
DEUS,Xtrackers Russell US Multifactor ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FMB,First Trust Managed Municipal ETF,Miscellaneous,Investment Trusts/Mutual Funds,
STLV,iShares Factors US Value Style ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DWCR,Arrow DWA Tactical: International ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TLT,iShares 20+ Year Treasury Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
XRMI,Global X Funds Global X S&P 500 Risk Managed Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FLAU,Franklin FTSE Australia ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FLQH,Franklin LibertyQ International Equity Hedged ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EFAV,iShares MSCI EAFE Min Vol Factor ETF,Miscellaneous,Investment Trusts/Mutual Funds,
USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund,Miscellaneous,Investment Trusts/Mutual Funds,
MGMT,Ballast Small/Mid Cap ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EFG,iShares MSCI EAFE Growth ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IWFL,ETRACS 2x Leveraged US Growth Factor TR ETN,Miscellaneous,Investment Trusts/Mutual Funds,
ASET,FlexShares Real Assets Allocation Index Fund,Miscellaneous,Investment Trusts/Mutual Funds,
EMHY,iShares J.P. Morgan EM High Yield Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CHIK,Global X Funds Global X MSCI China Information Technology ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SPTL,SPDR Portfolio Long Term Treasury ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FLRU,Franklin FTSE Russia ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VNMC,Natixis Vaughan Nelson Mid Cap ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IQDY,FlexShares International Quality Dividend Dynamic Index Fund,Miscellaneous,Investment Trusts/Mutual Funds,
IEMG,iShares Core MSCI Emerging Markets ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DYNF,BlackRock U.S. Equity Factor Rotation ETF,Miscellaneous,Investment Trusts/Mutual Funds,
URTH,Ishares MSCI World Index Fund,Miscellaneous,Investment Trusts/Mutual Funds,
FLIN,Franklin FTSE India ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BOIL,ProShares Ultra Bloomberg Natural Gas,Miscellaneous,Investment Trusts/Mutual Funds,
WWOW,Direxion World Without Waste ETF,Miscellaneous,Investment Trusts/Mutual Funds,
THCX,Spinnaker ETF Series The Cannabis ETF,Miscellaneous,Investment Trusts/Mutual Funds,
WINC,Western Asset Short Duration Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
AAAU,Goldman Sachs Physical Gold ETF Shares,Miscellaneous,Investment Trusts/Mutual Funds,
IBMN,iShares iBonds Dec 2025 Term Muni Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FIDI,Fidelity International High Dividend ETF,Miscellaneous,Investment Trusts/Mutual Funds,
JHMT,John Hancock Multifactor Technology ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SPTM,SPDR Portfolio S&P 1500 Composite Stock Market ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DUSL,Direxion Daily Industrials Bull 3X Shares,Miscellaneous,Investment Trusts/Mutual Funds,
UST,ProShares Ultra 7-10 Year Treasury,Miscellaneous,Investment Trusts/Mutual Funds,
LGOV,First Trust Long Duration Opportunities ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CFCV,ClearBridge Focus Value ESG ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PSJ,Invesco Dynamic Software ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BIGY,Defiance Next Gen Big Data ETF,Miscellaneous,Investment Trusts/Mutual Funds,
GSST,Goldman Sachs Access Ultra Short Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DFAC,Dimensional ETF Trust Dimensional U.S. Core Equity 2 ETF,Miscellaneous,Investment Trusts/Mutual Funds,
MAAX,VanEck ETF Trust VanEck Muni Allocation ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DGS,WisdomTree Emerging Market SmallCap Fund,Miscellaneous,Investment Trusts/Mutual Funds,
AAA,Listed Funds Trust AAF First Priority CLO Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PKB,Invesco Dynamic Building & Construction ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PFIG,Invesco Fundamental Investment Grade Corporate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
RPAR,RPAR Risk Parity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
XLI,SPDR Select Sector Fund - Industrial,Miscellaneous,Investment Trusts/Mutual Funds,
BGLD,FT Cboe Vest Gold Strategy Quarterly Buffer ETF,Miscellaneous,Investment Trusts/Mutual Funds,
GSSC,GS ActiveBeta U.S. Small Cap Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
RORO,ATAC US Rotation ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IDHD,Invesco S&P International Developed High Dividend Low Volatility ETF,Miscellaneous,Investment Trusts/Mutual Funds,
USXF,iShares ESG Advanced MSCI USA ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PWZ,Invesco California AMT-Free Municipal Bond Portfolio,Miscellaneous,Investment Trusts/Mutual Funds,
BIZD,VanEck BDC Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DAUG,FT Cboe Vest U.S. Equity Deep Buffer ETF - August,Miscellaneous,Investment Trusts/Mutual Funds,
SSPY,Syntax Stratified LargeCap ETF,Miscellaneous,Investment Trusts/Mutual Funds,
QMAR,FT Cboe Vest Nasdaq-100 Buffer ETF - March,Miscellaneous,Investment Trusts/Mutual Funds,
IDMO,Invesco S&P International Developed Momentum ETF,Miscellaneous,Investment Trusts/Mutual Funds,
HEEM,iShares Currency Hedged MSCI Emerging Markets ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FDMO,Fidelity Momentum Factor ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DJUN,FT Cboe Vest U.S. Equity Deep Buffer ETF - June,Miscellaneous,Investment Trusts/Mutual Funds,
AIIQ,AI Powered International Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PGJ,Invesco Golden Dragon China ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EZA,iShares MSCI South Africa Index Fund,Miscellaneous,Investment Trusts/Mutual Funds,
FSMD,Fidelity Small-Mid Multifactor ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FTXH,First Trust Nasdaq Pharmaceuticals ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SDEM,Global X MSCI SuperDividend Emerging Markets ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SHFT,Tidal ETF Trust iClima Distributed Renewable Energy Transition Leaders ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,Miscellaneous,Investment Trusts/Mutual Funds,
WIP,SPDR FTSE International Government Inflation-Protected Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
NJAN,Innovator Growth-100 Power Buffer ETF - January,Miscellaneous,Investment Trusts/Mutual Funds,
IECS,iShares Evolved U.S. Consumer Staples ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BSJM,Invesco BulletShares 2022 High Yield Corporate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VUSE,ETF Series Solutions Trust Vident Core US Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VFMO,Vanguard U.S. Momentum Factor ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DUSA,Davis Fundamental ETF Trust Davis Select U.S. Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TFIV,Global X TargetIncome 5 ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CEFS,Exchange Listed Funds Trust ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VEGI,iShares MSCI Agriculture Producers Fund,Miscellaneous,Investment Trusts/Mutual Funds,
EWT,iShares Inc iShares MSCI Taiwan ETF,Miscellaneous,Investment Trusts/Mutual Funds,
HTUS,Hull Tactical US ETF,Miscellaneous,Investment Trusts/Mutual Funds,
WGLD,Wilshire wShares Enhanced Gold Trust,Miscellaneous,Investment Trusts/Mutual Funds,
ULE,ProShares Ultra Euro,Miscellaneous,Investment Trusts/Mutual Funds,
IJR,iShares Core S&P Small-Cap ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PST,ProShares UltraShort Lehman 7-10 Year Treasury,Miscellaneous,Investment Trusts/Mutual Funds,
BTEC,Principal Healthcare Innovators Index ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PGAL,Global X MSCI Portugal ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PSCM,Invesco S&P SmallCap Materials ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EZM,WisdomTree U.S. MidCap Fund,Miscellaneous,Investment Trusts/Mutual Funds,
LSAT,LeaderShares AlphaFactor Tactical Focused ETF,Miscellaneous,Investment Trusts/Mutual Funds,
ARMR,Exchange Listed Funds Trust Armor US Equity Index ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FLJH,Franklin FTSE Japan Hedged ETF,Miscellaneous,Investment Trusts/Mutual Funds,
CZA,Invesco Zacks Mid-Cap ETF,Miscellaneous,Investment Trusts/Mutual Funds,
QLD,ProShares Ultra QQQ,Miscellaneous,Investment Trusts/Mutual Funds,
UCON,First Trust TCW Unconstrained Plus Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
HYUP,Xtrackers High Beta High Yield Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IBDT,iShares iBonds Dec 2028 Term Corporate ETF,Miscellaneous,Investment Trusts/Mutual Funds,
EURZ,Xtrackers Eurozone Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
XWEB,SPDR S&P Internet ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VB,Vanguard Small-Cap ETF,Miscellaneous,Investment Trusts/Mutual Funds,
AOA,iShares Core Aggressive Allocation ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BALT,Innovator Defined Wealth Shield ETF,Miscellaneous,Investment Trusts/Mutual Funds,
JMOM,JPMorgan U.S. Momentum Factor ETF,Miscellaneous,Investment Trusts/Mutual Funds,
RPV,Invesco S&P 500 Pure Value ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PSMG,Invesco Growth Multi-Asset Allocation ETF,Miscellaneous,Investment Trusts/Mutual Funds,
HIBL,Direxion Daily S&P 500 High Beta Bull 3X Shares,Miscellaneous,Investment Trusts/Mutual Funds,
EFIV,SPDR S&P 500 ESG ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TFLO,iShares Treasury Floating Rate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VDC,Vanguard Consumer Staples ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SCHE,Schwab Emerging Markets Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IBDU,iShares iBonds Dec 2029 Term Corporate ETF,Miscellaneous,Investment Trusts/Mutual Funds,
AIEQ,AI Powered Equity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SUBZ,Roundhill Streaming Services & Technology ETF,Miscellaneous,Investment Trusts/Mutual Funds,
RFFC,RiverFront Dynamic US Flex-Cap ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TPL,Texas Pacific Land Corporation,Miscellaneous,Investment Trusts/Mutual Funds,10089986859
QMOM,Alpha Architect U.S. Quantitative Momentum ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DEW,WisdomTree Global High Dividend Fund,Miscellaneous,Investment Trusts/Mutual Funds,
PQSV,PGIM ETF Trust ETF PGIM QMA Strategic Alpha Small-Cap Value ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FJUN,FT Cboe Vest U.S. Equity Buffer ETF - June,Miscellaneous,Investment Trusts/Mutual Funds,
QRFT,QRAFT AI-Enhanced U.S. Large Cap ETF,Miscellaneous,Investment Trusts/Mutual Funds,
PBEE,Invesco PureBeta FTSE Emerging Markets ETF,Miscellaneous,Investment Trusts/Mutual Funds,
DIVA,AGFiQ Hedged Dividend Income Fund,Miscellaneous,Investment Trusts/Mutual Funds,
VCSH,Vanguard Short-Term Corporate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SILX,ETFMG Prime 2X Daily Junior Silver Miners ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BLV,Vanguard Long-Term Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BSCR,Invesco BulletShares 2027 Corporate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FILL,iShares MSCI Global Energy Producers Fund,Miscellaneous,Investment Trusts/Mutual Funds,
SPY,SPDR S&P 500 ETF TRUST,Miscellaneous,Investment Trusts/Mutual Funds,
IWF,iShares Russell 1000 Growth ETF,Miscellaneous,Investment Trusts/Mutual Funds,
LSST,Natixis ETF Trust Natixis Loomis Sayles Short Duration Income ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IAK,iShares U.S. Insurance ETF,Miscellaneous,Investment Trusts/Mutual Funds,
QQC,Simplify Nasdaq 100 PLUS Convexity ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BSEA,ETFMG Breakwave Sea Decarbonization Tech ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VOTE,Engine No. 1 Transform 500 ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FFTG,FormulaFolios Tactical Growth ETF,Miscellaneous,Investment Trusts/Mutual Funds,
SPVM,Invesco S&P 500 Value with Momentum ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VBND,ETF Series Solutions Trust Vident Core U.S. Bond Strategy Fund,Miscellaneous,Investment Trusts/Mutual Funds,
SPMB,SPDR Portfolio Mortgage Backed Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
FYX,First Trust Small Cap Core AlphaDEX Fund,Miscellaneous,Investment Trusts/Mutual Funds,
EDZ,Direxion Emerging Markets Bear 3X Shares,Miscellaneous,Investment Trusts/Mutual Funds,
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TIPX,SPDR Bloomberg Barclays 1-10 Year TIPS,Miscellaneous,Investment Trusts/Mutual Funds,
JCPB,JPMorgan Core Plus Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
ROAM,Hartford Multifactor Emerging Markets ETF,Miscellaneous,Investment Trusts/Mutual Funds,
GDXJ,VanEck Junior Gold Miners ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IPOS,Renaissance Capital Greenwich Fund,Miscellaneous,Investment Trusts/Mutual Funds,
DFAT,Dimensional U.S. Targeted Value ETF,Miscellaneous,Investment Trusts/Mutual Funds,
AMND,UBS AG ETRACS Alerian Midstream Energy High Dividend Index ETN,Miscellaneous,Investment Trusts/Mutual Funds,
SHE,SPDR Series Trust SPDR SSGA Gender Diversity Index ETF,Miscellaneous,Investment Trusts/Mutual Funds,
TPOR,Direxion Daily Transportation Bull 3X Shares,Miscellaneous,Investment Trusts/Mutual Funds,
TMV,Direxion Daily 20-Year Treasury Bear 3X,Miscellaneous,Investment Trusts/Mutual Funds,
SPLB,SPDR Portfolio Long Term Corporate Bond ETF,Miscellaneous,Investment Trusts/Mutual Funds,
IPAC,iShares Core MSCI Pacific ETF,Miscellaneous,Investment Trusts/Mutual Funds,
JSML,Janus Henderson Small Cap Growth Alpha ETF,Miscellaneous,Investment Trusts/Mutual Funds,
VCLN,Virtus Duff & Phelps Clean Energy ETF,Miscellaneous,Investment Trusts/Mutual Funds,
BUYZ,Franklin Disruptive Commerce ETF,Miscellaneous,Investment Trusts/Mutual Funds,
